"Total Outstanding","Ҳамагӣ қарзӣ"
"Payment submitted but print function could not be executed. Payment name not found.","Пардохт фиристода шуд, аммо чоп нашуд. Номи пардохт ёфт нашуд."
"Payment {0} is already fully allocated","Пардохти {0} аллакай пурра тақсим шудааст"
"Payments are not open. Do you want to open payments and submit?","Пардохтҳо кушода нестанд. Оё мехоҳед кушоед ва фиристед?"
"Payments by Mode of Payment","Пардохтҳо аз рӯи усули пардохт"
"Pending Invoices","Ҳисобномаҳои интизорӣ"
"Pending Sync","Интизори ҳамоҳангсозӣ"
"Pending count updated from {0} to {1}","Миқдори интизорӣ аз {0} ба {1} нав шуд"
"Pending: {0}","Интизорӣ: {0}"
"Pending: {0} | Synced: {1} | Draft: {2}","Интизорӣ: {0} | Ҳамоҳанг шуд: {1} | Сиёҳнавис: {2}"
"Please allow camera access to scan codes","Лутфан дастрасӣ ба камераро барои сканеркунии кодҳо иҷозат диҳед"
"Please configure a POS Profile first","Лутфан аввал профили POS-ро танзим кунед"
"Please make a payment or select an payment","Лутфан пардохт кунед ё пардохтро интихоб кунед"
"Please request phone payment or use another payment method","Лутфан пардохти телефониро дархост кунед ё дигар усули пардохтро истифода баред"
"Please select Coupon Code Based POS Offer.","Лутфан пешниҳоди POS дар асоси коди купонро интихоб кунед."
"Please select a customer","Лутфан муштариро интихоб кунед"
"Please select a customer before reconciling.","Лутфан пеш аз муқоиса муштариро интихоб кунед."
"Please select a customer first","Лутфан аввал муштариро интихоб кунед"
"Please select an invoice","Лутфан ҳисобномаро интихоб кунед"
"Please select the correct POS Offer with the same company.","Лутфан пешниҳоди дурусти POS-ро барои худи ҳамон ширкат интихоб кунед."
"Please set the customer's mobile number","Лутфан рақами мобилии муштариро таъин кунед"
"Please try again or enter the item manually.","Лутфан бори дигар кӯшиш кунед ё молро дастӣ ворид кунед."
"Please verify the barcode or check the item's availability.","Лутфан штрих-код ё мавҷудияти молро санҷед."
"Please verify the barcode or search manually.","Лутфан штрих-код ё ҷустуҷӯи дастиро санҷед."
"Posawesome","Posawesome"
"Position the QR code or barcode within the scanning area","QR-код ё штрих-кодро дар дохили минтақаи сканер ҷойгир кунед"
"Prefix included in barcode","Префикс дар штрих-код дохил карда шудааст"
"Prefix length","Дарозии префикс"
"Previous unit of measure","Воҳиди ченкунии қаблӣ"
"Price Discount Scheme","Price Discount Scheme"
"Price List is required","Рӯйхати нархҳо ҳатмист"
"Price decimals","Даҳиҳои нарх"
"Price digits","Рақамҳои нарх"
"Price included in barcode","Нарх дар штрих-код дохил карда шудааст"
"Price starting position","Мавқеи оғози нарх"
"Pricing & Discounts","Нархгузорӣ ва тахфифҳо"
"Primary Customer Offer","Пешниҳоди асосии муштарӣ"
"Print Draft","Чопи сиёҳнавис"
"Print Last Invoice","Чопи ҳисобномаи охирин"
"Printed","Чоп шуд"
"Processed returns impacting the shift totals","Баргардонидани коркардшуда, ки ба ҷамъбасти баст таъсир мерасонанд"
"Processing Payment","Коркарди пардохт"
"Profile switching is not available yet","Иваз кардани профилҳо ҳоло дастнорас аст"
"Profiles List","Рӯйхати профилҳо"
"Promo Type","Намуди промо"
"QTY","Миқдор"
"Qualified","Мувофиқат мекунад"
"Qualifying Transaction / Item","Муомила / моли мувофиқаткунанда"
"Quantity and Amount Conditions","Шартҳои миқдор ва маблағ"
"Quantity exceeds available stock","Миқдор аз анбори дастрас зиёд аст"
"Quotation {0} is Submitted","Пешниҳоди нархи {0} фиристода шуд"
"Ready!","Тайёр!"
"Recent updates about your invoices","Навсозиҳои охирин дар бораи ҳисобномаҳои шумо"
"Reconcile payment methods and close shift","Усулҳои пардохтро муқоиса кунед ва бастро бандед"
"Reconciling Payments","Муқоисаи пардохтҳо"
"Redeem Credit","Истифодаи кредит"
"Redeemed Customer Credit","Кредити муштарӣ истифода шуд"
"Referral Campaign","Маъракаи рефералӣ"
"Referral Code is required","Рамзи рефералӣ ҳатмист"
"Referral Code {0} is disabled","Рамзи рефералии {0} ғайрифаъол аст"
"Referral Code {0} is not exists","Рамзи рефералии {0} вуҷуд надорад"
"Referral Company","Ширкати рефералӣ"
"Referral Name","Номи реферал"
"Register Status","Ҳолати сабт"
"Reload Items","Бозборкунии молҳо"
"Reload Now","Ҳозир бозбор кунед"
"Remaining outstanding: {0} across {1} invoice(s).","Қарзи боқимонда: {0} дар {1} ҳисобнома(ҳо)."
"Remove Offer","Несткунии пешниҳод"
"Remove item","Несткунии мол"
"Remove local data and refresh","Несткунии маълумоти маҳаллӣ ва навсозӣ"
"Replace Cheapest Item","Ҷойгузин кардани моли арзонтарин"
"Replace Same Item","Ҷойгузин кардани ҳамон як мол"
"Reprint previous transaction","Чопи дубораи муомилоти қаблӣ"
"Request","Дархост"
"Required columns cannot be hidden","Сутунҳои зарурӣ пинҳон карда намешаванд"
"Reset item name","Барқарор кардани номи мол"
"Return Valid Until","Баргардонидан эътибор дорад то"
"Return Valid Upto","Баргардонидан эътибор дорад то"
"Return Validity Days","Рӯзҳои эътибори баргардонидан"
"Return count","Миқдори баргардонидан"
"Return items must have negative quantities","Молҳои баргардонидашаванда бояд миқдори манфӣ дошта бошад"
"Return total must be negative","Ҷамъи баргардонидан бояд манфӣ бошад"
"Return window passed","Мӯҳлати баргардонидан гузашт"
"Return without Invoice","Баргардонидан бидуни ҳисобнома"
"Returns are only allowed until {0}","Баргардонидан танҳо то {0} иҷозат дода мешавад"
"Returns by Currency","Баргардонидан аз рӯи асъор"
"Review shift totals before submitting the closing entry","Ҷамъбасти бастро пеш аз фиристодани сабти басташавӣ санҷед"
"Row ID","ID-и сатр"
"Sales Invoice Reference","Истинод ба ҳисобнома-фактура"
"Sales Order {0} is Submitted","Фармоиши фурӯши {0} фиристода шуд"
"Sales Person not found","Фурӯшанда ёфт нашуд"
"Sales processed","Фурӯшҳо коркард шуданд"
"Save & Clear","Захира ва тозакунӣ"
"Saved as draft because: {0}","Ҳамчун сиёҳнавис захира шуд, зеро: {0}"
"Scale Barcode Settings","Танзимоти штрих-коди тарозу"
"Scan Error","Хатои сканеркунӣ"
"Scan QR Code/Barcode","Сканеркунии QR-код/штрих-код"
"Scan with Camera","Сканеркунӣ бо камера"
"Scanned Code:","Коди сканершуда:"
"Scanning for: {0}","Ҷустуҷӯ барои: {0}"
"Scanning items","Сканеркунии молҳо"
"Search Items","Ҷустуҷӯи молҳо"
"Search Mpesa Payments","Ҷустуҷӯи пардохтҳои Mpesa"
"Search by Batch Number","Ҷустуҷӯ аз рӯи рақами партия"
"Search by Mobile","Ҷустуҷӯ аз рӯи рақами мобилӣ"
"Search by Name","Ҷустуҷӯ аз рӯи ном"
"Search by Serial Number","Ҷустуҷӯ аз рӯи рақами силсилавӣ"
"Search items or barcode","Ҷустуҷӯи мол ё штрих-код"
"Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.","Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera."
"Select Columns to Display","Интихоби сутунҳо барои намоиш"
"Select Payment","Интихоби пардохт"
"Select Return Invoice","Интихоби ҳисобномаи баргардонидан"
"Select S.O","Интихоби ф-ши фурӯш"
"Select Sales Orders","Интихоби фармоишҳои фурӯш"
"Select a customer","Муштариро интихоб кунед"
"Select a customer to use coupon","Барои истифодаи купон муштариро интихоб кунед"
"Select items to apply offers","Барои татбиқи пешниҳодҳо молҳоро интихоб кунед"
"Select items to sell","Молҳоро барои фурӯш интихоб кунед"
"Select which types of codes to scan with camera","Кадом намуди кодҳо бо камера сканер карда шаванд"
"Selected POS Opening Shift should be open.","Ифтитоҳи басти POS-и интихобшуда бояд кушода бошад."
"Send invoice to submit after printing","Ҳисобномаро пас аз чоп барои фиристодан фиристед"
"Serial","Силсилавӣ"
"Serial No QTY","Миқдори рақами силсилавӣ"
"Server Cache Duration","Давомнокии кеши сервер"
"Setup complete!","Танзим анҷом ёфт!"
"Shift Overview","Шарҳи баст"
"Show Template Items","Намоиши молҳои шаблонӣ"
"Show last invoice rate","Намоиши нархи ҳисобномаи охирин"
"Shows the distribution of invoices per currency","Тақсимоти ҳисобномаҳо аз рӯи асъор"
"Sign out of session","Баромадан аз ҷаласа"
"Skipped Payments","Пардохтҳои гузаронидашуда"
"Sorry, this coupon code cannot be used by this company","Бубахшед, ин коди купон барои ин ширкат истифода намешавад"
"Sorry, this coupon code cannot be used by this customer","Бубахшед, ин коди купон барои ин муштарӣ истифода намешавад"
"Sorry, this coupon code not exists","Бубахшед, ин коди купон вуҷуд надорад"
"Sorry, {0} have used this coupon before","Бубахшед, {0} ин купонро қаблан истифода бурдааст"
"Starting position (1-indexed) of the item code within the barcode.","Мавқеи оғози рамзи мол дар штрих-код."
"Starting position (1-indexed) of the price segment.","Мавқеи оғози сегменти нарх."
"Starting position (1-indexed) of the weight segment.","Мавқеи оғози сегменти вазн."
"Stock Information","Маълумоти анбор"
"Stock QTY","Миқдори анбор"
"Stock is lower than requested. Proceeding may create negative stock.","Анбор аз миқдори дархостшуда кам аст. Давом додан метанад барои бақияро манфӣ кунад."
"Submit & Print","Фиристодан ва чоп кардан"
"Submit Payment","Submit Payment"
"Successfully scanned:","Бомуваффақият сканер шуд:"
"Switch Camera","Ивази камера"
"Switch theme appearance","Ивази намуди мавзӯъ"
"Switched to:","Switched to:"
"Sync All Invoices","Ҳамоҳангсозии ҳамаи ҳисобномаҳо"
"Sync Offline Invoices","Ҳамоҳангсозии ҳисобномаҳои офлайн"
"System Information","Маълумоти система"
"System Status","Ҳолати система"
"Tax Inclusive","Бо назардошти андоз"
"Tax and Charges","Андоз ва хароҷот"
"Territory not found","Ҳудуд ёфт нашуд"
"The app stores data locally for offline use. This is called cache.","Барнома маълумотро дар дастгоҳ захира мекунад. Ин кеш номида мешавад."
"The invoice stayed in draft. Please review and submit it manually.","Ҳисобнома дар сиёҳнавис монд. Лутфан онро дастӣ фиристед."
"The maximum discount allowed is","Максимуми тахфифи иҷозатдодашуда"
"The quantity for {0} has been adjusted to the maximum available stock.","Миқдори {0} то ҳадди аксари анбор танзим карда шуд."
"The system could not retrieve the item details. Please try again.","Система тафсилоти молро дастрас карда натавонист. Лутфан бори дигар кӯшиш кунед."
"There are no outstanding invoices to reconcile.","Ягон ҳисобномаи қарзӣ барои муқоиса нест."
"These invoices will be synced when connection is restored","Ин ҳисобномаҳо ҳангоми барқарор шудани пайвастшавӣ ҳамоҳанг мешаванд"
"Third Party Trans ID","ID-и транзаксияи тарафи сеюм"
"This Referral Code {0} not exists","Ин рамзи рефералии {0} вуҷуд надорад"
"This Serial Number {0} has already been added!","Ин рақами силсилавии {0} аллакай илова шудааст!"
"This barcode could not be matched to any item.","Ин штрих-код ба ягон мол мувофиқат намекунад."
"This coupon already used !","Ин купон аллакай истифода шудааст!"
"This invoice {0} cannot be deleted","Ҳисобномаи {0}-ро нест кардан мумкин нест"
"This is an item template. Please choose a variant.","Ин шаблони мол аст. Лутфан як вариантро интихоб кунед."
"Tip: Clear cache regularly to free up space and keep the app fast.","Маслиҳат: Кешро мунтазам тоза кунед, то барнома зуд кор кунад."
"Toggle navigation drawer","Гузариши панели пайвандҳо"
"Total Change","Ҳамагӣ бақия"
"Total Invoices","Ҳамагӣ ҳисобномаҳо"
"Total Invoices:","Ҳамагӣ ҳисобномаҳо:"
"Total Mpesa:","Ҳамагӣ Mpesa:"
"Total Payments:","Ҳамагӣ пардохтҳо:"
"Total Selected :","Ҳамагӣ интихобшуда :"
"Total Size","Андозаи умумӣ"
"Total number of digits used for the item code in the barcode.","Миқдори умумии рақамҳои рамзи мол дар штрих-код."
"Totals by Invoice Currency","Ҷамъбаст аз рӯи асъори ҳисобнома"
"Track how much cash was handed back to customers","Пайгирии маблағе, ки ба муштариён баргардонида шуд"
"Trans Amount","Маблағи транзаксия"
"Trans Amount is required","Маблағи транзаксия ҳатмист"
"Trans ID","ID-и транзаксия"
"Trans Time","Вақти транзаксия"
"Try adjusting your search or filters","Кӯшиш кунед ҷустуҷӯ ё филтрҳоро танзим кунед"
"UOM not found","Воҳиди ченкунӣ ёфт нашуд"
"Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.","Unable to access camera even with basic settings. Please check your camera permissions and device compatibility."
"Unable to add offer item {0}. Please refresh and try again.","Илова кардани моли пешниҳодии {0} имконнопазир аст. Нав кунед."
"Unable to add offer item. Please refresh and try again.","Илова кардани моли пешниҳодӣ имконнопазир аст. Нав кунед."
"Unable to add scanned item.","Моли сканершударо илова кардан нашуд."
"Unable to cancel Journal Entry {0} linked to this invoice. Please cancel it manually and try again.","Unable to cancel Journal Entry {0} linked to this invoice. Please cancel it manually and try again."
"Unable to create Journal Entry for customer credit.","Сохтани Journal Entry барои кредити муштарӣ имконнопазир аст."
"Unable to determine cash account for change payment entry.","Суратҳисоби нақдӣ барои сабти бақия муайян нашуд."
"Unable to determine customer receivable account for change payment entry.","Суратҳисоби муштарӣ барои сабти бақия муайян нашуд."
"Unable to fetch M-Pesa payments","Гирифтани пардохтҳои M-Pesa имконнопазир аст"
"Unable to fetch draft invoices","Гирифтани ҳисобномаҳои сиёҳнавис имконнопазир аст"
"Unable to fetch draft orders","Гирифтани фармоишҳои сиёҳнавис имконнопазир аст"
"Unable to fetch sales orders","Гирифтани фармоишҳои фурӯш имконнопазир аст"
"Unable to find exchange rate for {0} to {1}. Please create a Currency Exchange record manually","Unable to find exchange rate for {0} to {1}. Please create a Currency Exchange record manually"
"Unable to load Credit Note {0}: {1}","Боркунии кредит-нотаи {0} имконнопазир аст: {1}"
"Unable to load Payment Entry {0}: {1}","Боркунии сабти пардохти {0} имконнопазир аст: {1}"
"Unable to load the selected sales order","Боркунии фармоиши фурӯши интихобшуда имконнопазир аст"
"Unable to print draft invoice","Чопи ҳисобномаи сиёҳнавис имконнопазир аст"
"Unable to resolve POS Opening Shift.","Ҳал кардани ифтитоҳи басти POS имконнопазир аст."
"Unable to submit the selected payment","Фиристодани пардохти интихобшуда имконнопазир аст"
"Unallocated","Тақсимнашуда"
"Unknown error","Хатои номаълум"
"Unknown error during background submission","Хатои номаълум ҳангоми фиристодан дар замина"
"Update Customer","Навсозии муштарӣ"
"Updating...","Навсозӣ..."
"Upload pending transactions","Боргузории транзаксияҳои интизорӣ"
"Usage","Истифодабарӣ"
"Use Browser Local Storage","Истифодаи Browser Local Storage"
"Use Cashback","Истифодаи кешбек"
"Use Customer Credit","Истифодаи кредити муштарӣ"
"Use Delivery Charges","Истифодаи хароҷоти интиқол"
"Use Limit Search","Истифодаи маҳдудияти ҷустуҷӯ"
"Use POS Awesome Payments","Истифодаи пардохтҳои POS Awesome"
"Use Percentage Discount","Истифодаи тахфифи фоизӣ"
"Use QTY Input","Истифодаи вуруди миқдор"
"Use Redis cache on the server to speedup initial loads of POS Awesome","Use Redis cache on the server to speedup initial loads of POS Awesome"
"Use Search Limit for Items","Истифодаи маҳдудияти ҷустуҷӯ барои молҳо"
"Use Server Cache","Истифодаи кеши сервер"
"Use Western numerals","Истифодаи рақамҳои ғарбӣ"
"Use date range to search for older invoices","Истифодаи давраи сана барои ҷустуҷӯи ҳисобномаҳои куҳна"
"User {} has been disabled. Please select valid user/cashier","Корбар {} ғайрифаъол шуд. Лутфан кассири эътиборнокро интихоб кунед."
"Using basic camera settings due to device limitations","Истифодаи танзимоти асосии камера аз сабаби маҳдудияти дастгоҳ"
"Using cached customer balance","Истифодаи баланси кешшудаи муштарӣ"
"Variance %","Фарқият %"
"Verify closing amounts for each payment method","Маблағи басташавиро барои ҳар як усули пардохт тасдиқ кунед"
"View notifications","Дидани огоҳиномаҳо"
"View offline invoices","Дидани ҳисобномаҳои офлайн"
"Waiting for payment...","Интизори пардохт..."
"Warning: High cache usage may affect performance.","Огоҳӣ: Истифодаи зиёди кеш метанад ба маҳсулнокӣ таъсир расонад."
"We'll let you know if an invoice fails to submit","Мо ба шумо хабар медиҳем, агар фиристодани ҳисобнома ноком шавад"
"Weight decimals","Даҳиҳои вазн"
"Weight digits","Рақамҳои вазн"
"Weight starting position","Мавқеи оғози вазн"
"Work without server connection","Кор бидуни пайвастшавӣ ба сервер"
"Yes, Cancel sale","Бале, фурӯш бекор карда шавад"
"Yes, Close","Бале, бастан"
"You are not allowed to print draft invoices","Ба шумо иҷозати чопи ҳисобномаҳои сиёҳнавис дода намешавад"
"You are trying to return more quantity for item {0} than was sold.","Шумо мехоҳед миқдори бештари моли {0}-ро нисбат ба фурӯхташуда баргардонед."
"You can redeem credit up to","Шумо метавонед кредитро то ин маблағ истифода баред"
"You can redeem up to","Шумо метавонед то ин маблағ истифода баред"
"You have no notifications right now","Шумо ҳоло ягон огоҳинома надоред"
"add","илова"
"cache used","кеш истифода шуд"
"days","рӯз"
"localStorage","localStorage"
"modified_after must be a valid ISO datetime","modified_after бояд формати ISO datetime дошта бошад"
"sales","фурӯш"
"this item","ин мол"
"{0} (Qty: {1})","{0} (Миқдор: {1})"
"{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.","{0} дар анбор танҳо {1} дорад. Шумо {2} дархост кардед. Миқдорро танзим кунед."
"{0} offline invoice{1} pending","{0} ҳисобномаи офлайнии {1} интизор аст"
"{0} offline invoice{1} saved as draft","{0} ҳисобномаи офлайнии {1} ҳамчун сиёҳнавис захира шуд"
"{0} offline invoice{1} synced","{0} ҳисобномаи офлайнии {1} ҳамоҳанг шуд"
"{0} payment(s) were skipped.","{0} пардохт(ҳо) гузаронида шуданд."
"{0} {1} must be submitted before creating change payment entries.","{0} {1} бояд пеш аз сохтани сабти бақия фиристода шавад."
"{0}: requested quantity exceeds available stock. Negative stock is allowed—proceed carefully.","{0}: миқдори дархостшуда аз анбор зиёд аст. Бақияи манфӣ иҷозат дода мешавад."
