"Total Outstanding","Общая задолженность"
"Scan QR Code/Barcode","Сканировать QR/штрих-код"
"Scan with Camera","Сканировать камерой"
"Scanned Code:","Отсканированный код:"
"Scanning for: {0}","Сканирование для: {0}"
"Scanning items","Сканирование товаров"
"Search Items","Поиск товаров"
"Search Mpesa Payments","Поиск платежей Mpesa"
"Search by Batch Number","Поиск по номеру партии"
"Search by Mobile","Поиск по мобильному"
"Search by Name","Поиск по имени"
"Search by Serial Number","Поиск по серийному номеру"
"Search items or barcode","Поиск товаров или штрих-кода"
"Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.","Для доступа к камере требуется защищенный контекст (HTTPS). Пожалуйста, используйте HTTPS."
"Select Columns to Display","Выбрать колонки для отображения"
"Select Payment","Выбрать платеж"
"Select Return Invoice","Выбрать счет на возврат"
"Select S.O","Выбрать зак. кли."
"Select Sales Orders","Выбрать заказы клиентов"
"Select a customer","Выберите клиента"
"Select a customer to use coupon","Выберите клиента для использования купона"
"Select items to apply offers","Выберите товары для применения предложений"
"Select items to sell","Выберите товары для продажи"
"Select which types of codes to scan with camera","Выберите типы кодов для сканирования камерой"
"Selected POS Opening Shift should be open.","Выбранное открытие смены POS должно быть открыто."
"Send invoice to submit after printing","Отправить счет на подтверждение после печати"
"Serial","Серийный"
"Serial No QTY","Кол-во серийных номеров"
"Server Cache Duration","Длительность кэша сервера"
"Setup complete!","Настройка завершена!"
"Shift Overview","Обзор смены"
"Show Template Items","Показывать товары-шаблоны"
"Show last invoice rate","Показывать цену последнего счета"
"Shows the distribution of invoices per currency","Показывает распределение счетов по валютам"
"Sign out of session","Выйти из сеанса"
"Skipped Payments","Пропущенные платежи"
"Sorry, this coupon code cannot be used by this company","Извините, этот код купона не может быть использован этой компанией"
"Sorry, this coupon code cannot be used by this customer","Извините, этот код купона не может быть использован этим клиентом"
"Sorry, this coupon code not exists","Извините, этот код купона не существует"
"Sorry, {0} have used this coupon before","Извините, {0} уже использовал этот купон ранее"
"Starting position (1-indexed) of the item code within the barcode.","Начальная позиция (с 1) кода товара в штрих-коде."
"Starting position (1-indexed) of the price segment.","Начальная позиция (с 1) сегмента цены."
"Starting position (1-indexed) of the weight segment.","Начальная позиция (с 1) сегмента веса."
"Stock Information","Складская информация"
"Stock QTY","Складское кол-во"
"Stock is lower than requested. Proceeding may create negative stock.","Остаток ниже запрошенного. Продолжение может привести к отрицательному остатку."
"Submit & Print","Отправить и напечатать"
"Submit Payment","Submit Payment"
"Successfully scanned:","Успешно отсканировано:"
"Switch Camera","Переключить камеру"
"Switch theme appearance","Переключить оформление темы"
"Switched to:","Switched to:"
"Sync All Invoices","Синхронизировать все счета"
"Sync Offline Invoices","Синхронизировать офлайн-счета"
"System Information","Системная информация"
"System Status","Статус системы"
"Tax Inclusive","Включая налоги"
"Tax and Charges","Налоги и сборы"
"Territory not found","Территория не найдена"
"The app stores data locally for offline use. This is called cache.","Приложение хранит данные локально для использования в автономном режиме. Это называется кэш."
"The invoice stayed in draft. Please review and submit it manually.","Счет остался в черновиках. Пожалуйста, проверьте и отправьте его вручную."
"The maximum discount allowed is","Максимально допустимая скидка составляет"
"The quantity for {0} has been adjusted to the maximum available stock.","Количество для {0} было скорректировано до максимально доступного остатка."
"The system could not retrieve the item details. Please try again.","Системе не удалось получить данные о товаре. Пожалуйста, попробуйте еще раз."
"There are no outstanding invoices to reconcile.","Нет неоплаченных счетов для сверки."
"These invoices will be synced when connection is restored","Эти счета будут синхронизированы при восстановлении соединения"
"Third Party Trans ID","ID транзакции сторонней системы"
"This Referral Code {0} not exists","Этот реферальный код {0} не существует"
"This Serial Number {0} has already been added!","Этот серийный номер {0} уже добавлен!"
"This barcode could not be matched to any item.","Этот штрих-код не соответствует ни одному товару."
"This coupon already used !","Этот купон уже использован!"
"This invoice {0} cannot be deleted","Этот счет {0} не может быть удален"
"This is an item template. Please choose a variant.","Это шаблон товара. Пожалуйста, выберите вариант."
"Tip: Clear cache regularly to free up space and keep the app fast.","Совет: Регулярно очищайте кэш, чтобы освободить место и поддерживать быстродействие приложения."
"Toggle navigation drawer","Переключить панель навигации"
"Total Change","Общая сдача"
"Total Invoices","Всего счетов"
"Total Invoices:","Всего счетов:"
"Total Mpesa:","Всего Mpesa:"
"Total Payments:","Всего платежей:"
"Total Selected :","Всего выбрано :"
"Total Size","Общий размер"
"Total number of digits used for the item code in the barcode.","Общее количество цифр, используемых для кода товара в штрих-коде."
"Totals by Invoice Currency","Итоги по валютам счетов"
"Track how much cash was handed back to customers","Отслеживайте, сколько наличности было выдано клиентам в качестве сдачи"
"Trans Amount","Сумма транзакции"
"Trans Amount is required","Сумма транзакции обязательна"
"Trans ID","ID транзакции"
"Trans Time","Время транзакции"
"Try adjusting your search or filters","Попробуйте изменить условия поиска или фильтры"
"UOM not found","Ед. изм. не найдена"
"Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.","Не удалось получить доступ к камере даже с базовыми настройками. Пожалуйста, проверьте разрешения камеры и совместимость устройства."
"Unable to add offer item {0}. Please refresh and try again.","Не удалось добавить товар по предложению {0}. Пожалуйста, обновите и попробуйте снова."
"Unable to add offer item. Please refresh and try again.","Не удалось добавить товар по предложению. Пожалуйста, обновите и попробуйте снова."
"Unable to add scanned item.","Не удалось добавить отсканированный товар."
"Unable to cancel Journal Entry {0} linked to this invoice. Please cancel it manually and try again.","Не удалось отменить бухгалтерскую запись {0}, связанную с этим счетом. Пожалуйста, отмените ее вручную и попробуйте снова."
"Unable to create Journal Entry for customer credit.","Не удалось создать бухгалтерскую запись для кредита клиента."
"Unable to determine cash account for change payment entry.","Не удалось определить счет наличных для записи о выдаче сдачи."
"Unable to determine customer receivable account for change payment entry.","Не удалось определить дебиторский счет клиента для записи о выдаче сдачи."
"Unable to fetch M-Pesa payments","Не удалось получить платежи M-Pesa"
"Unable to fetch draft invoices","Не удалось получить черновики счетов"
"Unable to fetch draft orders","Не удалось получить черновики заказов"
"Unable to fetch sales orders","Не удалось получить заказы клиентов"
"Unable to find exchange rate for {0} to {1}. Please create a Currency Exchange record manually","Не удалось найти обменный курс для {0} к {1}. Пожалуйста, создайте запись обмена валюты вручную"
"Unable to load Credit Note {0}: {1}","Не удалось загрузить кредит-ноту {0}: {1}"
"Unable to load Payment Entry {0}: {1}","Не удалось загрузить платеж {0}: {1}"
"Unable to load the selected sales order","Не удалось загрузить выбранный заказ клиента"
"Unable to print draft invoice","Не удалось напечатать черновик счета"
"Unable to resolve POS Opening Shift.","Не удалось разрешить открытие смены POS."
"Unable to submit the selected payment","Не удалось отправить выбранный платеж"
"Unallocated","Нераспределено"
"Unknown error","Неизвестная ошибка"
"Unknown error during background submission","Неизвестная ошибка при фоновой отправке"
"Update Customer","Обновить клиента"
"Updating...","Обновление..."
"Upload pending transactions","Загрузить ожидающие транзакции"
"Usage","Использование"
"Use Browser Local Storage","Использовать локальное хранилище браузера"
"Use Cashback","Использовать кэшбэк"
"Use Customer Credit","Использовать кредит клиента"
"Use Delivery Charges","Использовать стоимость доставки"
"Use Limit Search","Использовать ограничение поиска"
"Use POS Awesome Payments","Использовать платежи POS Awesome"
"Use Percentage Discount","Использовать процентную скидку"
"Use QTY Input","Использовать ввод количества"
"Use Redis cache on the server to speedup initial loads of POS Awesome","Use Redis cache on the server to speedup initial loads of POS Awesome"
"Use Search Limit for Items","Использовать ограничение поиска для товаров"
"Use Server Cache","Использовать кэш сервера"
"Use Western numerals","Использовать западные цифры"
"Use date range to search for older invoices","Использовать диапазон дат для поиска старых счетов"
"User {} has been disabled. Please select valid user/cashier","Пользователь {} отключен. Пожалуйста, выберите действительного пользователя/кассира"
"Using basic camera settings due to device limitations","Использование базовых настроек камеры из-за ограничений устройства"
"Using cached customer balance","Использование кэшированного баланса клиента"
"Variance %","Отклонение %"
"Verify closing amounts for each payment method","Проверьте суммы закрытия для каждого способа оплаты"
"View notifications","Просмотр уведомлений"
"View offline invoices","Просмотр офлайн-счетов"
"Waiting for payment...","Ожидание оплаты..."
"Warning: High cache usage may affect performance.","Внимание: Высокое использование кэша может повлиять на производительность."
"We'll let you know if an invoice fails to submit","Мы сообщим вам, если отправка счета не удастся"
"Weight decimals","Десятичные знаки веса"
"Weight digits","Цифры веса"
"Weight starting position","Начальная позиция веса"
"Work without server connection","Работа без подключения к серверу"
"Yes, Cancel sale","Да, отменить продажу"
"Yes, Close","Да, закрыть"
"You are not allowed to print draft invoices","Вам не разрешено печатать черновики счетов"
"You are trying to return more quantity for item {0} than was sold.","Вы пытаетесь вернуть большее количество товара {0}, чем было продано."
"You can redeem credit up to","Вы можете погасить кредит на сумму до"
"You can redeem up to","Вы можете погасить до"
"You have no notifications right now","У вас пока нет уведомлений"
"add","добавить"
"cache used","кэш использован"
"days","дней"
"localStorage","localStorage"
"modified_after must be a valid ISO datetime","modified_after должен быть в формате ISO datetime"
"sales","продажи"
"this item","этот товар"
"{0} (Qty: {1})","{0} (Кол-во: {1})"
"{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.","В наличии {0} всего {1}. Вы запросили {2}. Измените количество или пополните запасы."
"{0} offline invoice{1} pending","{0} офлайн-счет{1} ожидает"
"{0} offline invoice{1} saved as draft","{0} офлайн-счет{1} сохранен как черновик"
"{0} offline invoice{1} synced","{0} офлайн-счет{1} синхронизирован"
"{0} payment(s) were skipped.","{0} платеж(ей) было пропущено."
"{0} {1} must be submitted before creating change payment entries.","{0} {1} должен быть подтвержден перед созданием записей о сдаче."
"{0}: requested quantity exceeds available stock. Negative stock is allowed—proceed carefully.","{0}: запрошенное количество превышает доступный остаток. Отрицательные остатки разрешены — действуйте осторожно."
